time,subject,abundance
0,Acinetobacter_1,0.0651481316064
1,Acinetobacter_1,0.0704183415215
2,Acinetobacter_1,0.0670239690338
3,Acinetobacter_1,0.0738722644038
0,Acinetobacter_10,0.0142027690933
1,Acinetobacter_10,0.00771177609052
2,Acinetobacter_10,0.0205151109126
3,Acinetobacter_10,0.0159595057317
0,Acinetobacter_11,0.012565133
1,Acinetobacter_11,0.000833705523299
2,Acinetobacter_11,0.0033348220932
3,Acinetobacter_11,0.0107786214084
0,Acinetobacter_12,0.00619324103022
1,Acinetobacter_12,0.00583593866309
2,Acinetobacter_12,0.0206639868989
3,Acinetobacter_12,0.0213488164359
0,Acinetobacter_13,0.01735894
1,Acinetobacter_13,0.0184606223016
2,Acinetobacter_13,0.0179544439482
3,Acinetobacter_13,0.0242965609647
0,Acinetobacter_14,0.0118207533125
1,Acinetobacter_14,0.0398689891321
2,Acinetobacter_14,0.047283013
3,Acinetobacter_14,0.0625279142474
0,Acinetobacter_15,0.0265892511538
1,Acinetobacter_15,0.0291499181182
2,Acinetobacter_15,0.082239095
3,Acinetobacter_15,0.0499330058062
0,Acinetobacter_2,0.0888789638231
1,Acinetobacter_2,0.0882536846807
2,Acinetobacter_2,0.105225547
3,Acinetobacter_2,0.0854548161382
0,Acinetobacter_3,0.184397797
1,Acinetobacter_3,0.10260533
2,Acinetobacter_3,0.068304303
3,Acinetobacter_3,0.170343904
0,Acinetobacter_4,0.047521215
1,Acinetobacter_4,0.0830728003573
2,Acinetobacter_4,0.0963525383356
3,Acinetobacter_4,0.083727855
0,Acinetobacter_5,0.068185202
1,Acinetobacter_5,0.0529403007295
2,Acinetobacter_5,0.0748548459134
3,Acinetobacter_5,0.116808099
0,Acinetobacter_6,0.161709096
1,Acinetobacter_6,0.205806163
2,Acinetobacter_6,0.143992854
3,Acinetobacter_6,0.0761351793956
0,Acinetobacter_7,0.206520768
1,Acinetobacter_7,0.18109275
2,Acinetobacter_7,0.147446777
3,Acinetobacter_7,0.155515855
0,Acinetobacter_8,0.20973649
1,Acinetobacter_8,0.0459431293732
2,Acinetobacter_8,0.0839660562751
3,Acinetobacter_8,0.0945958016972
0,Acinetobacter_9,0.0546970373679
1,Acinetobacter_9,0.0372189965759
2,Acinetobacter_9,0.0360875390799
3,Acinetobacter_9,0.0389161828197
