sample,class,F_g__Staphylococcus,F_g__Acinetobacter,F_g__Corynebacterium,F_g__Cutibacterium,F_g__Pseudomonas,F_g__Streptococcus,F_g__Sphingomonas,F_g__Brevundimonas,F_g__Anaerococcus,F_g__Lawsonella,F_g__norank_f__Neisseriaceae,F_g__Kocuria,F_g__Finegoldia,F_g__Bradyrhizobium,F_g__Pelomonas,F_g__Enhydrobacter,F_g__Deinococcus,F_g__Stenotrophomonas,F_g__Rothia,F_g__Micrococcus,F_g__Paracoccus,F_g__Actinomyces,F_g__Phyllobacterium,F_g__Haemophilus,F_g__Lactobacillus,F_g__Actinotignum,F_g__Gordonia,F_g__Peptoniphilus,F_g__Veillonella,F_g__norank_f__norank_o__Chloroplast,F_g__Prevotella,F_g__Aquabacterium,F_g__Methylobacterium-Methylorubrum,F_g__Delftia,F_g__Granulicatella,F_g__Neisseria,F_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,F_g__Porphyromonas,F_g__Gemella,F_g__Eremococcus,F_g__Roseomonas,F_g__Piscicoccus,F_g__Acidovorax,F_g__Devosia,F_g__unclassified_f__Xanthobacteraceae,F_g__unclassified_f__Enterobacteriaceae,F_g__Brachybacterium,F_g__Chryseobacterium,F_g__Psychrobacter,F_g__Bacillus,F_g__norank_f__Caulobacteraceae,F_g__Rhodococcus,F_g__Fusobacterium,F_g__Burkholderia-Caballeronia-Paraburkholderia,F_g__Brevibacterium,F_g__Mobiluncus,F_g__unclassified_f__Dermacoccaceae,F_g__Pantoea,F_g__Dermabacter,F_g__Kytococcus,F_g__unclassified_o__Enterobacterales,F_g__Aerococcus,F_g__unclassified_f__Intrasporangiaceae,F_g__Luteimonas,F_g__Ezakiella,F_g__Leptotrichia,F_g__norank_f__Weeksellaceae,F_g__unclassified_f__Rhizobiaceae,F_g__Escherichia-Shigella,F_g__Peptostreptococcus,F_g__unclassified_f__Rhodobacteraceae,F_g__unclassified_f__Sphingomonadaceae,F_g__Ornithinimicrobium,F_g__Mesorhizobium,F_g__Anoxybacillus,F_g__norank_f__Mitochondria,F_g__Weissella,F_g__unclassified_f__Comamonadaceae,F_g__Murdochiella,F_g__Enterobacter,F_g__Skermanella,F_g__Flavobacterium,F_g__norank_f__JG30-KF-CM45,F_g__norank_f__Rhizobiaceae,F_g__Dialister,F_g__Aeromonas,F_g__Amaricoccus,F_g__Serratia,F_g__Romboutsia,F_g__Rubellimicrobium,F_g__norank_f__norank_o__SBR1031,F_g__Exiguobacterium,F_g__unclassified_p__Proteobacteria,F_g__Varibaculum,F_g__unclassified_k__norank_d__Bacteria,F_g__Alloprevotella,F_g__Aliterella,F_g__Arthrobacter,F_g__Pseudoxanthomonas,F_g__unclassified_f__Lachnospiraceae,F_g__Sphingopyxis,F_g__Alishewanella,F_g__Abiotrophia,F_g__Truepera,F_g__Ottowia,F_g__norank_f__Muribaculaceae,F_g__Niabella,F_g__Chroococcidiopsis_PCC_7203,F_g__Pedobacter,F_g__unclassified_c__Parcubacteria,H_g__Staphylococcus,H_g__Acinetobacter,H_g__Corynebacterium,H_g__Cutibacterium,H_g__Pseudomonas,H_g__Streptococcus,H_g__Sphingomonas,H_g__Brevundimonas,H_g__Anaerococcus,H_g__Lawsonella,H_g__norank_f__Neisseriaceae,H_g__Kocuria,H_g__Finegoldia,H_g__Bradyrhizobium,H_g__Pelomonas,H_g__Enhydrobacter,H_g__Deinococcus,H_g__Stenotrophomonas,H_g__Rothia,H_g__Micrococcus,H_g__Paracoccus,H_g__Actinomyces,H_g__Phyllobacterium,H_g__Haemophilus,H_g__Lactobacillus,H_g__Actinotignum,H_g__Gordonia,H_g__Peptoniphilus,H_g__Veillonella,H_g__norank_f__norank_o__Chloroplast,H_g__Prevotella,H_g__Aquabacterium,H_g__Methylobacterium-Methylorubrum,H_g__Delftia,H_g__Granulicatella,H_g__Neisseria,H_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,H_g__Porphyromonas,H_g__Gemella,H_g__Eremococcus,H_g__Roseomonas,H_g__Piscicoccus,H_g__Acidovorax,H_g__Devosia,H_g__unclassified_f__Xanthobacteraceae,H_g__unclassified_f__Enterobacteriaceae,H_g__Brachybacterium,H_g__Chryseobacterium,H_g__Psychrobacter,H_g__Bacillus,H_g__norank_f__Caulobacteraceae,H_g__Rhodococcus,H_g__Fusobacterium,H_g__Burkholderia-Caballeronia-Paraburkholderia,H_g__Brevibacterium,H_g__Mobiluncus,H_g__unclassified_f__Dermacoccaceae,H_g__Pantoea,H_g__Dermabacter,H_g__Kytococcus,H_g__unclassified_o__Enterobacterales,H_g__Aerococcus,H_g__unclassified_f__Intrasporangiaceae,H_g__Luteimonas,H_g__Ezakiella,H_g__Leptotrichia,H_g__norank_f__Weeksellaceae,H_g__unclassified_f__Rhizobiaceae,H_g__Escherichia-Shigella,H_g__Peptostreptococcus,H_g__unclassified_f__Rhodobacteraceae,H_g__unclassified_f__Sphingomonadaceae,H_g__Ornithinimicrobium,H_g__Mesorhizobium,H_g__Anoxybacillus,H_g__norank_f__Mitochondria,H_g__Weissella,H_g__unclassified_f__Comamonadaceae,H_g__Murdochiella,H_g__Enterobacter,H_g__Skermanella,H_g__Flavobacterium,H_g__norank_f__JG30-KF-CM45,H_g__norank_f__Rhizobiaceae,H_g__Dialister,H_g__Aeromonas,H_g__Amaricoccus,H_g__Serratia,H_g__Romboutsia,H_g__Rubellimicrobium,H_g__norank_f__norank_o__SBR1031,H_g__Exiguobacterium,H_g__unclassified_p__Proteobacteria,H_g__Varibaculum,H_g__unclassified_k__norank_d__Bacteria,H_g__Alloprevotella,H_g__Aliterella,H_g__Arthrobacter,H_g__Pseudoxanthomonas,H_g__unclassified_f__Lachnospiraceae,H_g__Sphingopyxis,H_g__Alishewanella,H_g__Abiotrophia,H_g__Truepera,H_g__Ottowia,H_g__norank_f__Muribaculaceae,H_g__Niabella,H_g__Chroococcidiopsis_PCC_7203,H_g__Pedobacter,H_g__unclassified_c__Parcubacteria
1_1,1,0.335715349,0.065148132,0.11618282,0.255530743,0.052612774,0.003751675,0.059312193,0.011761203,0,0.005359536,0.00836683,8.93E-05,0,0.009319637,0.008962334,0.000446628,0,0.0112848,0.000923031,0,0,0.00074438,0.005151109,0,0.003989876,0,0,0,0,0,0.000565729,0.002739318,0.001697186,0.00068483,0,0,0,0,0,0,0,0,0.001697186,0.001429209,0,0.001607861,0,0,0,0.001012357,0.001310109,0,0,0.001756737,0.000267977,0,0,0,0,0.000267977,0,0,0,0,0,0,0,0,0.002173589,0,0,0,0,0.000178651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119101,0,0.001131457,0,0,0,0,0.00074438,0,0,0,0,0,0.002798869,0,0,0,0,0.352895638,0.180646122,0.024504987,0.04451392,0.079142474,0.04370999,0.037784725,0.019085901,0.001250558,0.061336906,0.000714605,0.003334822,0.000655054,0.013875242,0.007741551,0.001607861,0.000565729,0.01438142,0.008217954,0.000565729,0.001280333,0.005359536,0.005984815,0.001875837,0.006729195,0,0.000893256,0,0.005746613,0.00229269,0.002798869,0.002917969,0.002173589,0.001578085,0.001012357,0.000267977,0.001161233,0,0.000893256,0,5.96E-05,0,0.004228078,0.003156171,0.002262915,0.003632574,0.000535954,0.000535954,0,0.001726961,0.000923031,0,0.001071907,0.00074438,8.93E-05,0,0,0.005061784,0,0.000327527,0.001042132,0,0,0,0,0.002828644,0,0,0,0,0,0,0,0.000476403,0.000148876,0.000565729,0.000774155,0.000476403,0,0.002649993,0,0,0.000535954,5.96E-05,0,0.000476403,0,0.000238202,0,0,0,0,0.000952806,0,0.000148876,0.000148876,0,0,8.93E-05,0,0,0,0,0,0,0.000446628,0,0,0,0
2_1,1,0.444186393,0.070418342,0.168378741,0.17588209,0.046151556,0.00601459,0.014202769,0.013964568,0,0.003989876,0.006044365,0.001071907,2.98E-05,0.008098854,0.010302218,0.000714605,0,0.007920202,0.002917969,0,0.000595504,0.000476403,0.00303707,0,2.98E-05,0,0,0,0,0.000119101,0,0.001191008,0.000387078,0.000387078,0.000357302,0,0.000208426,0,0.000178651,0,0,0,0.001131457,0.002054489,0.000267977,0,0.000208426,0,0,0,0.000923031,0,0.000357302,0.000178651,0,0,0,0,0,0,0,0,8.93E-05,0,0,0,0,0.000565729,0,0,5.96E-05,0,0,0.000178651,0,0,0,5.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000714605,0,0,0,0,0,0.000148876,0,0,0,0,0,0,0,0,0,0,0,0.129432782,0.220425785,0.04451392,0.008277505,0.137501861,0.099538484,0.052344797,0.038201578,0.006461218,0.007384249,0.001369659,0.009528063,0.001518535,0.015244901,0.023403305,0.002798869,0.000357302,0.020157809,0.020425785,0.000893256,0.001131457,0.020842638,0.010748846,0.001429209,0.000297752,0,0,0.000714605,0.00899211,0.001846062,0.005984815,0.002828644,0.003215721,0.005657287,0.005597737,0.000774155,0.002947745,0.001726961,0.007146047,0.001250558,0,0,0.004079202,0.003573024,0.002798869,0.001161233,0.001399434,0.000535954,0,0.002798869,0.00148876,0.000565729,0.001369659,0.001101682,0.000833706,0.000387078,0.000297752,0.000357302,0,0.002739318,0,0,0.001161233,0,0.000416853,0.000774155,0,0.000119101,0,0.000535954,0,0,0,0,0,0.000595504,0,0.000506178,0.00080393,0.001012357,0,0,5.96E-05,0.000267977,0.000297752,0.000208426,0,0.000655054,0,0,0,0.000923031,0,0,8.93E-05,0.000595504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_1,1,0.592853953,0.067023969,0.095935686,0.10260533,0.020991514,0.043114486,0.008456156,0.004496055,5.96E-05,0.0112848,0.001667411,0.003692124,0,0.003513473,0.002769093,0.000565729,5.96E-05,0.002917969,0.011433676,0.000297752,0.000297752,0.005478636,0.001637636,0.000416853,0.001816287,0,8.93E-05,5.96E-05,0.003156171,0.000238202,0,0.000476403,2.98E-05,0.000327527,0.001756737,0,0.000178651,0,0.001756737,0,0,0,0.000506178,0.001071907,0,0.000565729,0.000863481,5.96E-05,0,0.000119101,0.000238202,0,0,0.000357302,2.98E-05,0,0.000357302,0,0,0.00068483,0,0,8.93E-05,0,0,0.000119101,0,0,0,0,0,0,0,5.96E-05,0,0,0.000119101,0,0,0,0,0,0,0,0,0.000119101,5.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93E-05,0,0.335983326,0.119994045,0.02647015,0.011225249,0.156587762,0.074795296,0.030340926,0.027452732,0.000595504,0.014083668,0.000982582,0.017388715,0.000297752,0.015244901,0.013666816,0.016942087,0.001071907,0.029209469,0.011433676,0.000595504,0.002203365,0.006907846,0.010153342,0.000506178,0.001637636,0,0.000327527,0,0.005984815,0.000416853,0.001220783,0.004228078,0.000178651,0.000923031,0.002590442,0,0.000655054,0,0.001429209,0,0,0,0.001846062,0.00229269,0.001965163,0.000387078,0.004257853,0.003543248,0.000238202,0.000327527,0.002620217,0,0.001131457,0.004168528,8.93E-05,0,0.00458538,0,0,0.007116272,0,0,0,0,0,0.001310109,0,0.000297752,0,0.000595504,0,0.000833706,0,0.000416853,0,0,0,0,0,0,0,0,0,0,0,0,0.000148876,0,0,0,0,5.96E-05,0,0,0,0.000357302,0,0,0.000148876,0,0,0,0,0,0,0,0,0,0,0
4_1,1,0.286764925,0.073872264,0.053357153,0.347625428,0.098049725,0.010689296,0.012981986,0.01351794,0.000238202,0.011106149,0.002560667,0.001191008,0,0.011642102,0.009289862,0.000178651,0.001369659,0.011046598,0.003632574,0,0.000387078,0.001339884,0.00905166,0,0.000267977,0,0.005419086,0,0.000387078,0.007294923,0,0.003126396,0.000625279,0.001042132,0.000208426,0,0.000148876,0,0.000357302,0,0,0,0.003245497,0.003066845,0.002530892,0,0,0,0,5.96E-05,0.000655054,0.000208426,0,0.00074438,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0,0.000119101,0,0,0,0.000238202,0,0,0,0.000774155,0,0.000357302,0,0,0,0,0,0.000119101,0,0,0,0,8.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069346434,0.116718773,0.021319041,0.015423552,0.172130415,0.020098258,0.02566622,0.028494864,0,0.006252791,0.001667411,0.016167932,0.00074438,0.012803335,0.042161679,0.005061784,0.058329611,0.022122972,0.003453923,0,0.002262915,0.004704481,0.007920202,0,0.00532976,0,0.019413429,0,0.004019652,0.002769093,0.000923031,0.003841,0.004198303,0.010272443,0.001191008,0,0.005895489,0,0.000327527,0,0.000893256,0,0.001012357,0.004942683,0.001846062,0.000178651,0.000535954,0.006431443,0,0.00607414,0.004198303,0.000297752,0,0.000774155,0.000535954,0,0.000714605,0.000625279,0,0.00068483,0,0.063510496,0.000535954,0,0,0.000893256,0,0,0.001578085,0,8.93E-05,0.001101682,0,0.000476403,0,0,0,0.001369659,0,0.00068483,0,0,0.000119101,0,0,0.024772964,0,0,0,0,0,0.040196516,0,0,0,0,0,0,0.000148876,0.001399434,0,0.046032455,0,0,0,0,0,0,0.000655054,0
1_2,2,0.525621557,0.088878964,0.029983624,0.177162424,0.057108828,0.006848295,0.032097663,0.012207831,0,0.004198303,0,0.000148876,0,0.008158404,0.009230311,0,0,0.009974691,0.000774155,5.96E-05,0.000535954,0.001369659,0.004198303,0.002798869,0.004228078,0,0,0,0.000327527,0.001280333,0.001816287,0.003245497,0.000357302,0.000863481,0.000863481,0.000357302,0,0,0.00080393,0,0,0,0.001816287,0.00154831,0,0,0.000119101,0,0,0.000446628,0.000595504,0,0.000655054,0.000297752,0,0,0,0,0,0,0,0,0.000297752,0,0,0,0,0.000267977,5.96E-05,0,0.000208426,0,0,5.96E-05,0,0.001339884,0.000267977,0.000238202,0,0,0,0,0,0,0.000208426,0,0,0,0,0.000357302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095221081,0.194283162,0.037159446,0.004972458,0.203960101,0.02033646,0.085782343,0.065356558,0.004347179,0.008128629,0,0.007830877,0.002441566,0.033020694,0.036653268,0,0,0.03248474,0.004496055,0.000238202,0.000833706,0.004049427,0.010867947,0.002143814,0.002114039,0,0.001310109,0,0.002382016,0.062319488,0,0.005925264,0.002054489,0.002143814,0.003007295,0.000565729,0.000119101,0,0,0.000267977,0.000327527,0,0.008664582,0.002888194,0.002173589,0.001667411,0.000387078,0.001310109,0.00068483,0.001518535,0.001935388,0.001399434,0.000535954,0.001786512,0.000327527,0,0.001191008,0,0,8.93E-05,0,0,0,0,0,0,0,0,0.000655054,0,0,0,0,0,0.000923031,0.010927497,0,0.000327527,0,0,0,0,0,0,0,0.000565729,0,0.000297752,0,0.00074438,0,0,0,0,0,0,0,0,0.000238202,0,0,0,0,0,0,0,0,0,0,0
2_2,2,0.568587167,0.088253685,0.045049873,0.109215424,0.059282418,0.010183117,0.016346583,0.012922436,0.000446628,0.00532976,0,0.000952806,0,0.007890427,0.007116272,0.000327527,0.000238202,0.008873009,0.005716838,0.000267977,0.000714605,0.00532976,0.003305047,0.000565729,0.017507816,0,0.000238202,0,0.000476403,0,0.000535954,0.002530892,0.000714605,0.000565729,0.001518535,8.93E-05,0.000297752,0,0.000327527,0,0,0,0.001012357,0.002411791,0,0.000357302,0.000238202,0,8.93E-05,0.000476403,0.000416853,0,0.000208426,0.000506178,0,0,0,0,0,5.96E-05,0,0,0,0,0,0.000267977,0,0.000178651,0,0,0,0,0,0,0,0,0.000387078,8.93E-05,0,0,0.000178651,0,0.000119101,0,0,0,0,0.000327527,0.00080393,0,0,0,0.000267977,0,0.000178651,5.96E-05,0,0,0.000267977,0.000178651,0,0,0,0,0,0.000416853,0.000148876,0,0,0,0.203453923,0.108083966,0.08152449,0.040881346,0.117582254,0.042102129,0.031025756,0.028584189,0.003007295,0.01214828,8.93E-05,0.011255025,0.000446628,0.011135924,0.017984219,0.053803781,0.000535954,0.02108084,0.013696591,0.001458985,0.004049427,0.032842043,0.007860652,0.010748846,0.003841,0,0.001191008,0.000178651,0.006103915,0.001250558,0.001369659,0.003543248,0.002709543,0.000506178,0.004138752,0.001220783,0.002143814,0,0.000982582,0,0.000446628,0.000119101,0.003811225,0.003811225,0.002530892,0.00080393,0.002262915,0.042370106,0,0.000565729,0.000952806,0.00080393,0.000863481,0.001994938,8.93E-05,0,0.008396606,0.000595504,0,0.000863481,0.001220783,0,0.002739318,0,0,0.001399434,8.93E-05,0.000655054,0,0.000148876,0.000416853,0.000387078,0.000327527,0.001131457,0.002828644,0.000267977,0.000416853,0.000714605,0,0,0.000267977,0.001369659,5.96E-05,0.000119101,0.000119101,0.00074438,0.000119101,0,8.93E-05,0.000119101,0,0.000119101,0.000297752,8.93E-05,0,0,0,0.000148876,0.00080393,0,0,0,0,0,0,0,0,0,5.96E-05,0
3_2,2,0.60452583,0.105225547,0.084769987,0.011016823,0.050707161,0.021348816,0.028226887,0.016703886,8.93E-05,0.00681852,0,0.001846062,5.96E-05,0.006133691,0.006848295,0,0.000565729,0.011314575,0.006103915,0.000297752,0.000387078,0.008605032,0.002709543,0.000595504,0.00607414,0,8.93E-05,0,0.001161233,0.001131457,0.000774155,0.00229269,0.000982582,0.00068483,0.000625279,0.000148876,0.000267977,0,0,0,0,0,0.002382016,0.001220783,0,8.93E-05,8.93E-05,0.000148876,0,8.93E-05,0.00068483,0,0,0.000267977,0,0,5.96E-05,0,0,0,0,0,0,0,0,0.000416853,0,0,0,2.98E-05,0.000476403,0,0,0.000178651,0,0.000357302,0,0,0,0,0,0,0,0,0,0,0.000535954,0,2.98E-05,0.000208426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254041983,0.204376954,0.033377996,0.044484145,0.181330951,0.012416257,0.036653268,0.033765074,0.001578085,0.001697186,0,0.002620217,0.001191008,0.020753312,0.021914545,0.000119101,0.000416853,0.032752717,0.001607861,0.001131457,0.002471341,0.004436504,0.014470746,0.001518535,0.02188477,0,0.000119101,0,0.000714605,0.00068483,0,0.010659521,0.002471341,0.001339884,0.00080393,0.000267977,0.00154831,0,0.000148876,0,0,0,0.001399434,0.005121334,0.002173589,0,0,0,0,0,0.001726961,8.93E-05,5.96E-05,0.003692124,0,0,0,0,0,0.000327527,0,0.000267977,0,0,0,0,0,0.000297752,0,8.93E-05,0,0.000327527,0,0.00080393,0,0,0.000357302,0.000148876,0,0.000565729,0,0,0,0,0,0.000297752,0,0,0.000416853,0.000476403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833706,0,0,0,0.000714605,0,0
4_2,2,0.343069823,0.085454816,0.057615007,0.047134137,0.196516302,0.009408962,0.033318446,0.049367277,0,0.009170761,0,0.002203365,0.000476403,0.024266786,0.031293732,0,0,0.037427423,0.000833706,0.000267977,0.00297752,0.001965163,0.015155575,0.000774155,0.001607861,0,0,0,0.000208426,0.002322465,0.000923031,0.008545482,0.006431443,0,0.001042132,0,5.96E-05,0,0.000625279,0,0,0,0.001518535,0.006044365,0.003126396,0.000327527,0,0,0,0,0.00229269,0.000119101,0,0.001429209,0,0,0.000476403,0,0,0,0,0,0,0,0,0.000416853,0,0,0,0,0,0,0,0.00154831,0,0,0,0.000446628,0,0,0,0,0.000416853,0,0,0.000297752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208426,0,0,0.000595504,0,0,0,0,0,0,0,0.163019205,0.126217061,0.057585232,0.00985559,0.286139646,0.016138157,0.040851571,0.061247581,0.002739318,0.001667411,0,0.001637636,0.000714605,0.040226291,0.025517344,0,0.002709543,0.045615602,0.001607861,0,0.001578085,0.010004466,0.012446032,0.007979753,0.00303707,0,0,0.001071907,0.011939854,0,0,0.012326932,0.00148876,0.001250558,0.000238202,0,0.000535954,0,0.000208426,0,0,0,0.002441566,0.005180884,0.002024713,0.002054489,0,0.000119101,0,0.000208426,0,5.96E-05,0,0.006193241,5.96E-05,0,0,0,0,0.000148876,0,0,0,0,0,0.000119101,0,0,0,0,0,0,0,0.000208426,0,0,0,0.001280333,0,0.002917969,0,0,0,0,0,0.001101682,0,0,0,0,0,0,0,0,0.002798869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_3,3,0.25127289,0.184397797,0.012475808,0.008694358,0.075271699,0.043531338,0.060652077,0.01965163,0.015393777,0.003573024,0,0.048414471,0.03322912,0.011225249,0.009557838,0.004615156,0,0.011582552,0.003930326,0.002471341,0.00378145,0.015006699,0.003245497,0.000863481,0.006699419,0,0.000506178,0.004347179,0.004108977,0.001161233,0.00303707,0.00223314,0.001161233,0.00148876,0.001607861,5.96E-05,0.001131457,0,0.001399434,0,0.003632574,0,0.005359536,0.004674706,0.002173589,0,0.007443799,2.98E-05,0,2.98E-05,0.001578085,0,0.003543248,0.001101682,0,0.000387078,0.005835939,0,0,0,0,0,0,0,0,0,0,0.000952806,0.000327527,0.001161233,0,0,0,0.000506178,0,0.002411791,0,8.93E-05,0,0,0,0,0,0.000774155,0.014619622,0.000565729,0,0,0,0,0,0,0.047312788,0.000297752,0.027512282,8.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268244752,0.148488909,0.057734107,0.002679768,0.082387971,0.068036326,0.029894298,0.023165103,0.009974691,0.004168528,0.000238202,0.055768944,0.00830728,0.011046598,0.009915141,0.016525234,0.000238202,0.016763436,0.011165699,0.003156171,0.009915141,0.03322912,0.00527021,0.000863481,0.014053893,0,0.001101682,0.001191008,0.008426381,0.001399434,0.000893256,0.003185946,0.001429209,0.00074438,0.006312342,0,0.000893256,0,0.003543248,0,0.005538187,0,0.001726961,0.002054489,0.000178651,0.00074438,0.005508411,8.93E-05,0,0.001161233,0.000982582,0.000416853,0.000297752,0.000506178,8.93E-05,0,0.022271848,0.003334822,0.000119101,0.000238202,0,5.96E-05,0,0,0,0.001399434,0,0.000714605,0.000267977,0.000565729,0,0.00080393,0,0.000714605,0,0.000297752,0,0.000357302,0,0,0,0.000208426,0.000595504,0,0.000476403,0.000357302,0,0,0,0.000208426,0,0,0.000327527,0.000119101,0,0,0,0,0.000267977,0.000119101,0,0,0,0,0,0,0,0,0,0
2_3,3,0.308649695,0.10260533,0.018192646,0.010838172,0.086139646,0.069941938,0.037903826,0.029209469,0.005687063,0.005538187,0,0.048950424,0.006669644,0.011939854,0.009021885,0.002441566,0.000297752,0.013101087,0.009766265,0.003424148,0.004406729,0.023135328,0.007116272,0.012356707,0.056007146,0,8.93E-05,0.001220783,0.008962334,0.028733065,0.00446628,0.002441566,0.001965163,0.000178651,0.004079202,0.000863481,0.001131457,0,0.002441566,0,0.003066845,0,0.002947745,0.005389311,0.003275272,0,0.007354474,0,0,0.000833706,0.000387078,0.000148876,0.002054489,0.000833706,0,0.000208426,0.003424148,0,0,0,0,0,0.000327527,0,0,0.000952806,0,0.001071907,0,0,0,0,5.96E-05,0.001250558,0.002382016,0.000357302,0,8.93E-05,0,0,0,0,0.000178651,0.000893256,0.000387078,0,0,0,0,0.000148876,0,0,0,0,0.000178651,0,0,0,0.000208426,0,0,0,0,0.000267977,0,0,0,0,0,0,0.066130713,0.04296561,0.013547715,0.002352241,0.031115081,0.158582701,0.013934792,0.007086497,0.003066845,0.003841,0,0.013130862,0.00985559,0.003483698,0.003275272,0.024058359,0.000387078,0.005567962,0.014589847,0.003305047,0.021259491,0.056007146,0.001816287,0.023284204,0.05058806,0,0.000119101,0.001310109,0.084650886,0.039065059,0.060681852,0.001131457,0.001101682,0.000416853,0.01959208,0.004644931,0.0037219,0.000714605,0.010331993,0,0.001012357,0,0.001280333,0.000863481,0,0.000863481,0.01581063,0.003394372,0,0.000297752,0.000119101,0.000774155,0.011225249,0.000267977,0,8.93E-05,0.003126396,0,0,0,0,5.96E-05,0.001280333,0,0,0.009676939,0,0.000297752,0.000208426,0.003096621,0.000119101,0.000267977,0,0,0.078189668,0.002143814,5.96E-05,0.000416853,0,0.000416853,0,0,0,0,0.001191008,0.000655054,5.96E-05,0,0,8.93E-05,0,0,0,0,0,0.003692124,0,0.000387078,0.000148876,0.000178651,0,0,0.000148876,5.96E-05,0,0.000416853,0,0,0,0
