sample,class,F_g__Staphylococcus,F_g__Acinetobacter,F_g__Corynebacterium,F_g__Cutibacterium,F_g__Pseudomonas,F_g__Streptococcus,F_g__Sphingomonas,F_g__Brevundimonas,F_g__Anaerococcus,F_g__Lawsonella,F_g__norank_f__Neisseriaceae,F_g__Kocuria,F_g__Finegoldia,F_g__Bradyrhizobium,F_g__Pelomonas,F_g__Enhydrobacter,F_g__Deinococcus,F_g__Stenotrophomonas,F_g__Rothia,F_g__Micrococcus,F_g__Paracoccus,F_g__Actinomyces,F_g__Phyllobacterium,F_g__Haemophilus,F_g__Lactobacillus,F_g__Actinotignum,F_g__Gordonia,F_g__Peptoniphilus,F_g__Veillonella,F_g__norank_f__norank_o__Chloroplast,F_g__Prevotella,F_g__Aquabacterium,F_g__Methylobacterium-Methylorubrum,F_g__Delftia,F_g__Granulicatella,F_g__Neisseria,F_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,F_g__Porphyromonas,F_g__Gemella,F_g__Eremococcus,F_g__Roseomonas,F_g__Piscicoccus,F_g__Acidovorax,F_g__Devosia,F_g__unclassified_f__Xanthobacteraceae,F_g__unclassified_f__Enterobacteriaceae,F_g__Brachybacterium,F_g__Chryseobacterium,F_g__Psychrobacter,F_g__Bacillus,F_g__norank_f__Caulobacteraceae,F_g__Rhodococcus,F_g__Fusobacterium,F_g__Burkholderia-Caballeronia-Paraburkholderia,F_g__Brevibacterium,F_g__Mobiluncus,F_g__unclassified_f__Dermacoccaceae,F_g__Pantoea,F_g__Dermabacter,F_g__Kytococcus,F_g__unclassified_o__Enterobacterales,F_g__Aerococcus,F_g__unclassified_f__Intrasporangiaceae,F_g__Luteimonas,F_g__Ezakiella,F_g__Leptotrichia,F_g__norank_f__Weeksellaceae,F_g__unclassified_f__Rhizobiaceae,F_g__Escherichia-Shigella,F_g__Peptostreptococcus,F_g__unclassified_f__Rhodobacteraceae,F_g__unclassified_f__Sphingomonadaceae,F_g__Ornithinimicrobium,F_g__Mesorhizobium,F_g__Anoxybacillus,F_g__norank_f__Mitochondria,F_g__Weissella,F_g__unclassified_f__Comamonadaceae,F_g__Murdochiella,F_g__Enterobacter,F_g__Skermanella,F_g__Flavobacterium,F_g__norank_f__JG30-KF-CM45,F_g__norank_f__Rhizobiaceae,F_g__Dialister,F_g__Aeromonas,F_g__Amaricoccus,F_g__Serratia,F_g__Romboutsia,F_g__Rubellimicrobium,F_g__norank_f__norank_o__SBR1031,F_g__Exiguobacterium,F_g__unclassified_p__Proteobacteria,F_g__Varibaculum,F_g__unclassified_k__norank_d__Bacteria,F_g__Alloprevotella,F_g__Aliterella,F_g__Arthrobacter,F_g__Pseudoxanthomonas,F_g__unclassified_f__Lachnospiraceae,F_g__Sphingopyxis,F_g__Alishewanella,F_g__Abiotrophia,F_g__Truepera,F_g__Ottowia,F_g__norank_f__Muribaculaceae,F_g__Niabella,F_g__Chroococcidiopsis_PCC_7203,F_g__Pedobacter,F_g__unclassified_c__Parcubacteria,H_g__Staphylococcus,H_g__Acinetobacter,H_g__Corynebacterium,H_g__Cutibacterium,H_g__Pseudomonas,H_g__Streptococcus,H_g__Sphingomonas,H_g__Brevundimonas,H_g__Anaerococcus,H_g__Lawsonella,H_g__norank_f__Neisseriaceae,H_g__Kocuria,H_g__Finegoldia,H_g__Bradyrhizobium,H_g__Pelomonas,H_g__Enhydrobacter,H_g__Deinococcus,H_g__Stenotrophomonas,H_g__Rothia,H_g__Micrococcus,H_g__Paracoccus,H_g__Actinomyces,H_g__Phyllobacterium,H_g__Haemophilus,H_g__Lactobacillus,H_g__Actinotignum,H_g__Gordonia,H_g__Peptoniphilus,H_g__Veillonella,H_g__norank_f__norank_o__Chloroplast,H_g__Prevotella,H_g__Aquabacterium,H_g__Methylobacterium-Methylorubrum,H_g__Delftia,H_g__Granulicatella,H_g__Neisseria,H_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,H_g__Porphyromonas,H_g__Gemella,H_g__Eremococcus,H_g__Roseomonas,H_g__Piscicoccus,H_g__Acidovorax,H_g__Devosia,H_g__unclassified_f__Xanthobacteraceae,H_g__unclassified_f__Enterobacteriaceae,H_g__Brachybacterium,H_g__Chryseobacterium,H_g__Psychrobacter,H_g__Bacillus,H_g__norank_f__Caulobacteraceae,H_g__Rhodococcus,H_g__Fusobacterium,H_g__Burkholderia-Caballeronia-Paraburkholderia,H_g__Brevibacterium,H_g__Mobiluncus,H_g__unclassified_f__Dermacoccaceae,H_g__Pantoea,H_g__Dermabacter,H_g__Kytococcus,H_g__unclassified_o__Enterobacterales,H_g__Aerococcus,H_g__unclassified_f__Intrasporangiaceae,H_g__Luteimonas,H_g__Ezakiella,H_g__Leptotrichia,H_g__norank_f__Weeksellaceae,H_g__unclassified_f__Rhizobiaceae,H_g__Escherichia-Shigella,H_g__Peptostreptococcus,H_g__unclassified_f__Rhodobacteraceae,H_g__unclassified_f__Sphingomonadaceae,H_g__Ornithinimicrobium,H_g__Mesorhizobium,H_g__Anoxybacillus,H_g__norank_f__Mitochondria,H_g__Weissella,H_g__unclassified_f__Comamonadaceae,H_g__Murdochiella,H_g__Enterobacter,H_g__Skermanella,H_g__Flavobacterium,H_g__norank_f__JG30-KF-CM45,H_g__norank_f__Rhizobiaceae,H_g__Dialister,H_g__Aeromonas,H_g__Amaricoccus,H_g__Serratia,H_g__Romboutsia,H_g__Rubellimicrobium,H_g__norank_f__norank_o__SBR1031,H_g__Exiguobacterium,H_g__unclassified_p__Proteobacteria,H_g__Varibaculum,H_g__unclassified_k__norank_d__Bacteria,H_g__Alloprevotella,H_g__Aliterella,H_g__Arthrobacter,H_g__Pseudoxanthomonas,H_g__unclassified_f__Lachnospiraceae,H_g__Sphingopyxis,H_g__Alishewanella,H_g__Abiotrophia,H_g__Truepera,H_g__Ottowia,H_g__norank_f__Muribaculaceae,H_g__Niabella,H_g__Chroococcidiopsis_PCC_7203,H_g__Pedobacter,H_g__unclassified_c__Parcubacteria
6H_1,1,0.41208873,0.156557987,0.137204109,0.1811523,0.018133095,0.009408962,0.015334227,0.01357749,0,0.017239839,0.000655054,0.000565729,0,0.009289862,0.001846062,0,0.000119101,0.001042132,0.002173589,0,0,0.001518535,0.004496055,0,0,0,0.000178651,0,0.001012357,0.000208426,0,0.000357302,0.000833706,0.001042132,0.000148876,0,0.000297752,0,0.000208426,0,0,0,0,0.000238202,0,0,0,5.96E-05,0,0,0.000952806,0,0,0.000148876,0,0,0,0.000595504,0,0,0,0,0,0,0,0,0,0.000148876,0,0.000148876,0,0,0,0.000387078,0,0,0.000357302,0.000238202,0,0,0,0,0,0,0,0,0.000178651,0,0,0,0,0,0.000208426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273544737,0.300580616,0.010778621,0.02715498,0.067083519,0.018728599,0.041030222,0.044037517,0.00154831,0.025100491,0.000952806,0.003275272,0.00074438,0.028733065,0.014917374,0.003305047,0,0.003305047,0.003513473,0.000655054,0.005806163,0.002322465,0.005716838,0.001816287,0.003394372,0,0.001637636,0,0.002590442,0.001071907,0.001071907,0.004734256,0.004138752,0.002590442,0.00068483,0.000863481,0.000893256,0,0.001846062,0,0,0,0.003751675,5.96E-05,0.000238202,0.002054489,0,0.000416853,0,0.005180884,0.003692124,0,0.000267977,0.000446628,0,0,0,0.007354474,0,0,0.001518535,0,0.000476403,0,0,0.002828644,0,0.000774155,0,0,0,0,0,0.001071907,0,0,0.000208426,0.000387078,0,0.001905613,0,0.000893256,0.000387078,0,0,0,0,0,0.000178651,0,0.001369659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6H_2,2,0.634360578,0.110436207,0.030340926,0.146523746,0.010808397,0.006639869,0.009825815,0.009260086,2.98E-05,0.002917969,0,0.000506178,0.000148876,0.004555605,0.002352241,0.000119101,0,0.001071907,0.000327527,0,5.96E-05,0.001726961,0.002709543,0.001250558,0.000208426,0,0,0,0.001101682,0.000416853,0.000476403,0.000595504,0.001280333,0.000952806,0.001339884,0,0.000714605,0,0.000387078,0,0,0,5.96E-05,0.000297752,0,0,0,0,0,0.000476403,0.000208426,0,0.001280333,0.000565729,0,0,0,0,0,0,0,0,0,0,0,0.000238202,0,0,0,0.000178651,0.000119101,0,0,0.000387078,0,0.000595504,0,0,0,0,0,0,0,0,0.000387078,0,0,0,0.000238202,0.000327527,0,0,0,8.93E-05,0,0,0,0,0,0,0,0,0,8.93E-05,0,0,0,0,0,0,0.124609201,0.406103915,0.044662796,0.056364448,0.037874051,0.021021289,0.019502754,0.031978562,0.001429209,0.005984815,0,0.004257853,0.000923031,0.019770731,0.005448861,0.001458985,0.000357302,0.006282567,0.003632574,0.000774155,0.001816287,0.004496055,0.007235373,0.004734256,0.003185946,0,0.00080393,0,0.00074438,0.098704779,0.000565729,0.001220783,0.001786512,0.002411791,0.003483698,0.002173589,0.000327527,0,0.000416853,0,0.000625279,0,0.000506178,0,0.001905613,0.000119101,0.001399434,0.000238202,0,0.002560667,0.00148876,0.001399434,0,0.000267977,0.000535954,0,0.000148876,0,0.000178651,0,0,0.000833706,0.000238202,0,0,0,0,0.001578085,0,0.000833706,0,0.000595504,0,0.001905613,0,0.024892065,0,0.000297752,0,0,0,0,0,0,5.96E-05,0.000119101,0,0.000357302,0.000357302,0,0,0,5.96E-05,0,0.000387078,0,0,0.000148876,8.93E-05,0,0,0,0,0.000119101,0,0,0,0,0.000148876,0
6H_3,3,0.076522257,0.186392735,0.002590442,0.004108977,0.016942087,0.006937621,0.013160637,0.011790978,0.001786512,0.00154831,0,0.012624684,0.002739318,0.007265148,0.610421319,0.000774155,0.000297752,0.001816287,0.000238202,0.000238202,0.002054489,0.003424148,0.003841,0.000178651,0.000119101,0,0.000387078,0.001191008,0.000982582,0.000178651,0,0.000923031,0.001131457,0.002352241,0,0,0.00080393,0,8.93E-05,0,0.000952806,0,0.000625279,0.000148876,0.000178651,0,0.000893256,0,0,0.000655054,0.000476403,0,0.000297752,0.000565729,0,0,0.001875837,0,0,0,0,0,0.000297752,0,0,0.000119101,0,0,0.000119101,0,0,0.000178651,0,0,0,0,0,0.000387078,0,0,0,0,0,0.000446628,0.001726961,0,0,0,0.000357302,0,0.000476403,0,5.96E-05,2.98E-05,0,0,0,0,0,0,0.000208426,8.93E-05,0,0,0,0,0,0,0,0,0.230221825,0.267113295,0.023462855,0.00607414,0.026827453,0.060116123,0.017537591,0.021110615,0.010093792,0.006282567,0,0.055500968,0.007890427,0.009676939,0.004108977,0.027810034,0.000774155,0.003334822,0.00607414,0.004108977,0.023046003,0.028494864,0.004615156,0.001846062,0.023879708,0,0.005002233,0.001399434,0.009528063,0.00080393,0.002322465,0.001310109,0.002649993,0.002560667,0.003989876,0.000893256,0.005478636,0,0.003989876,0,0.00527021,0,0,0.000565729,0.00223314,0.00148876,0.007146047,0.001578085,0,0.001786512,0.000714605,0.000327527,0.000297752,0.000655054,0,0,0.016138157,0.00681852,0.000476403,0.000327527,0.00068483,0.000208426,0.000238202,0.000208426,0,0.00068483,0.000387078,0.000595504,0,0.001012357,0.000327527,0.000297752,0,0.000476403,0,0.000119101,0,0.000774155,0,0.000387078,0.000238202,0.000178651,0.000267977,0.000327527,0.000327527,0.003126396,0.000119101,0,0,0,0,0.000208426,0,0.000267977,0,0.000357302,0,0.003185946,0.000119101,0,8.93E-05,0,0,0,0,0,0,0,0,0
6H_4,4,0.677445288,0.085693018,0.099091856,0.051302665,0.007652226,0.019860057,0.006282567,0.005419086,0.000387078,0.000148876,5.96E-05,0.003394372,0.006997171,0.003930326,0.001042132,0.000327527,0.000565729,0.000863481,0.002114039,0.00068483,0.000208426,0.003900551,0.003275272,0.000923031,0,0,0.000357302,0.001012357,0.001071907,0,0.00068483,0.000178651,0.000208426,0.001012357,0.000416853,0.000238202,0.000119101,0.000357302,0.001191008,0,0,0.000714605,0.000327527,0.000119101,0,0,0.000267977,0,0,0.000178651,0.000327527,0.000297752,0.00068483,0.000446628,5.96E-05,0.000238202,5.96E-05,0,0,0.000387078,0,0,0,0,0,0,0,0.000387078,0,0.001726961,0,0,0,0.000178651,0,0,0,0,0,0,0,0,0,0.000297752,5.96E-05,0,0,0,0.000208426,0.000119101,0,0,0,0,0.000148876,0.000357302,0,0,0,0,8.93E-05,0,0,0,0,0,0,0,0,0,0.111150811,0.324728301,0.034836981,0.011582552,0.024713414,0.059550395,0.015215126,0.022003871,0.000923031,0.000863481,0.000327527,0.146196219,0.024683639,0.011195474,0.004764032,0.004734256,0.003900551,0.003632574,0.004704481,0.002590442,0.008515706,0.00836683,0.005627512,0.003245497,0.013220188,0,0.034479678,0.002203365,0.0037219,0.000714605,0.007830877,0.001280333,0.003245497,0.003841,0.000416853,0.000565729,0.003096621,0,0.00229269,0,0.00080393,0.000119101,0.00080393,0.000476403,0.002143814,0.000923031,0.003305047,0.001667411,0,0.000833706,0.001161233,0.009200536,0.000833706,0.000506178,0.000267977,0.000267977,0.000357302,0,8.93E-05,0.001310109,0,0,0.000119101,0,0.000119101,0.000387078,0.000535954,0.000714605,0,0.00521066,0.003751675,0.000297752,0,0.000148876,0,0.000297752,0.001756737,0.003156171,0,0.000565729,0.002024713,0.000297752,0.000148876,0,0.000297752,0.000357302,0.001191008,0.000267977,0.00080393,0.000655054,0,0.000416853,0,8.93E-05,0,0.000119101,0,0.000148876,0.001220783,0,0,0,0,0,0,0,0,0.000238202,0,0
6H_5,5,0.077177311,0.263272294,0.016495459,0.448533572,0.021527468,0.015155575,0.02417746,0.021974096,0.000625279,0.003215721,0,0.00148876,0,0.009081435,0.004734256,0.006223016,0,0.003573024,0.003989876,0.012624684,0.001697186,0.000982582,0.00830728,8.93E-05,0,0,0.004168528,0.000327527,0.000446628,0,0.000267977,0.001369659,0.002203365,0.003007295,0.000387078,0,0.001726961,0,0,0,0,0,0.001131457,0.000238202,0.000506178,0.000714605,0.001101682,0.001101682,0,0.00068483,0.000119101,0.000297752,0,0.001250558,0.000833706,0,0.000208426,0.000119101,0,0.000297752,0.00074438,0,0.000565729,0,0,0,0,0,0,0,0,0,0,0.001071907,0,0,0,0.000565729,0,0,0,0,0.000119101,5.96E-05,0,0,0,0,0,0,0,0,0.000178651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056245348,0.191514069,0.011016823,0.026827453,0.024653863,0.377549501,0.044186393,0.020485336,0.001131457,0.00148876,0.000208426,0.002620217,0.000863481,0.008069078,0.004674706,0.002084264,0.000565729,0.003483698,0.088640762,0.016793211,0.002322465,0.009974691,0.00378145,0.003185946,2.98E-05,0,0.003602799,0,0.001994938,0,0.000267977,0.001250558,0.001012357,0.002947745,0.01208873,0.000208426,0.001191008,0,0.001816287,0,0.000238202,8.93E-05,0.000119101,0,0.000416853,0.002382016,0.003483698,0.001578085,0,0.010421319,0.000893256,0.000238202,0.000208426,0.000535954,0.001429209,0,0.000238202,0.000565729,0,0,0.000565729,0,0.001101682,0,0,0.000208426,0,0.000208426,0,0,0.000148876,0,0,0.000148876,0.001816287,0,0.001637636,0.000327527,0,0.000327527,0.000178651,0,0.000148876,0.007205598,0,0,0,0,5.96E-05,5.96E-05,0,0,0,0,0,0,0,0,0.000327527,0,0,0,0,8.93E-05,0.000267977,0,0,0,0,0
6H_6,6,0.027869585,0.299538484,0.006937621,0.510436207,0.021854995,0.007890427,0.019502754,0.023820158,0,0.00830728,0.002858419,0.000297752,0,0.011850529,0.005389311,0.000357302,0.000506178,0.004108977,0.00068483,0.000178651,0,0.001458985,0.009260086,0.001161233,0,0,0,0,0.000178651,0.001697186,0,0.00074438,0.001458985,0.001697186,0.000833706,0,0.000655054,0,0.000625279,0,0,0,0.000625279,0,0.001458985,0.00154831,0,0.000119101,0,0.003960101,0.001310109,0,0,0.000327527,0,0,0,0,0,0,0,0,0,0,0,0.000595504,0,8.93E-05,0,0,0,0.000506178,0.000297752,0.000952806,0,0,8.93E-05,0.000119101,0,0,0,0,0,0,0,0,0,0,0,0.000416853,0,0,8.93E-05,0,0.000535954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046955486,0.554146196,0.019294328,0.047789192,0.060264999,0.004674706,0.039571237,0.05058806,0.001012357,0.016019056,0.000446628,0.004674706,0,0.022361173,0.007741551,0.00750335,0.001905613,0.004615156,0.000416853,0.00229269,0.002798869,0.000952806,0.017001638,0.002560667,8.93E-05,0,0.000119101,0,0.001071907,0.000625279,0.000714605,0.002441566,0.003602799,0.003870776,0,0.000148876,0.002590442,0,0,0.000446628,0.002620217,0,0.003841,0,0.004168528,0.000506178,0.001012357,0.001965163,0,0.004198303,0.002560667,0,0,0.001310109,0.000923031,0,0,0,0,0,0.000297752,0,0.001220783,0,0,0,0,0.000863481,0,0.000476403,0.000982582,0.000297752,0,0.003334822,0.001161233,0,0,0.00074438,0,0,0,0,0,0,0,0.000416853,0,0,0,0.000267977,0,0.000148876,0,0,0,0,0,0,0.000595504,0,0,0,0,0,0,0,0,0.000655054,0,0
6H_7,7,0.031174632,0.591782046,0.006490993,0.050826262,0.065743636,0.0301325,0.03775495,0.047372339,0.000297752,0.001875837,0.000595504,0.00074438,0.000208426,0.017924669,0.015542653,0.002352241,0,0.004317404,0.001697186,0.001220783,0.001042132,0.001101682,0.012326932,0.01804377,0,0,0,0.00074438,0.000357302,0,0.001042132,0.003424148,0.004764032,0.007890427,0,0,0.00148876,0,0.000178651,0,0.000565729,0,0.001607861,0.000506178,0.002471341,0.002203365,0,0.000357302,0.000357302,5.96E-05,0.001339884,0,0,0.001846062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000952806,0,0,0,0.000625279,0,0,0,0.00068483,0,0,0,0.000327527,0,0,0,0,0,0.000178651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488491886,0.27774304,0.003930326,0.003334822,0.027303856,0.019532529,0.035879113,0.024058359,0.000208426,0.003185946,0,0.003275272,0,0.009706714,0.004198303,0.000893256,0,0.005121334,0.004912908,0.000923031,0.001250558,0.001816287,0.007205598,0.007354474,0.001399434,0,0.000148876,0.00080393,0.001250558,0.000774155,0.000446628,0.001875837,0.00154831,0.001399434,0.000863481,0.000148876,0.000565729,0,0.000178651,0,0.000476403,0,0.004168528,0,0.002828644,0.000267977,0.000148876,0.000297752,0,0.000119101,0.000774155,0,0.000446628,0.001012357,0,0,0,0,0,0,0,0.008337055,0,0,0,0,0,0,0.000119101,0.000416853,0,0,0,0.000178651,0.000446628,0,0.000119101,0,0,0,0,0,0,0,0,0.000178651,0,0,0.000446628,0,0,0,0,0.000119101,0,0.000774155,0,0,0,0.000148876,0,0,0,0,0,0.000476403,0,0,0,0
6H_8,8,0.092154236,0.272353729,0.021914545,0.041179098,0.024475212,0.001667411,0.030519577,0.024326336,0.004674706,0.002679768,0.305314873,0.000714605,0.003185946,0.013130862,0.00446628,0,0,0.003394372,0.000238202,0.000387078,0.001786512,0.001101682,0.009885365,0.000535954,0,0.112639571,0,0.001161233,0.000267977,0.000476403,0.000297752,0.00148876,0.001875837,0.001191008,0,0.000714605,0,0.000297752,0.000595504,0,0.000357302,0.000327527,0.001846062,0.000267977,0,0,0,0,0,0.000387078,0.002679768,0.000148876,0,0.000208426,0,0,0,0,0,0.000357302,0,0,0,0,0,0,0,0,0,0.00080393,0,0,0,0.000446628,0.00068483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0,0.000416853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363406283,0.248593122,0.196843829,0.003394372,0.013815692,0.001607861,0.034836981,0.018341522,0.025457794,0.00080393,0.001875837,0.011225249,0.009438738,0.005627512,0.003126396,0.001101682,0.000833706,0.002114039,0.000357302,0.003900551,0.006729195,0.000535954,0.005895489,0.000238202,0.000148876,0.002858419,0,0.005448861,0,0.002798869,5.96E-05,0.001518535,0.002143814,0.001697186,0,0,0.00074438,0.000267977,0.000327527,0.000327527,0.001637636,0,0.000238202,0,0,0,0.000565729,0,0,0.000119101,0.000535954,0.000208426,2.98E-05,0.000476403,0.000387078,0,0.000297752,0,0.000446628,0.00074438,0.000238202,0,0.000178651,0.000208426,0.000238202,0,0,0.000476403,0,0.000506178,8.93E-05,0.000446628,0,0.000297752,0.000446628,0,0,0.000506178,0,0,0.00074438,0.000119101,0,0,0,0,0,0,0,0.000238202,0,0.000238202,0,0,0,0,0,0,0,0,0,0,0,0.000119101,0,0,0,0,0,0
6H_9,9,0.801875837,0.065297008,0.063957124,0.002352241,0.00830728,0.001816287,0.008217954,0.006967396,0,0.000565729,0.015244901,0.001518535,0.000595504,0.004734256,0.001667411,0.000178651,0.000565729,0.000863481,0.002143814,0.000238202,0.001518535,0.000833706,0.001697186,0.000535954,0,0,0,0,0.000535954,0,0,0.000416853,0.000178651,0.000446628,0.000267977,0,0.000119101,0,0,0,0.000297752,0,0.000595504,0.000506178,0,0,0,0.000238202,0,0,0.001131457,0,0,0.000148876,0,0,0,0,0.000297752,0,0,0,0.000148876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391871371,0.111567664,0.203483698,0.002858419,0.011463451,0.044722346,0.008515706,0.01214828,0.002501117,0.002679768,0.012624684,0.020723537,0.005419086,0.005538187,0.002858419,0.003215721,0.010838172,0.002084264,0.030013399,0.003841,0.007533125,0.005687063,0.002947745,0.0226887,0,0,0,0.000238202,0.002173589,0.000208426,0.000923031,0.00074438,0.001131457,0.001518535,0.007741551,0.011076373,0.000595504,0.000655054,0.000446628,0.000416853,0.00080393,0,0.000297752,0,0.000148876,0.000506178,0.000387078,0.001399434,0,0.000208426,0.004287628,0.000267977,0.007443799,0.000357302,0.000982582,0.000506178,0.000446628,0,0.001458985,0,0,0.000178651,0.001637636,0,0,0.002054489,0,0.000208426,0,0.000714605,0.000178651,0.000923031,0,0.000148876,0,0,0,0.000267977,0,0,0,0.001042132,0,0.000119101,0,5.96E-05,0,0,0,0,0,0,8.93E-05,0,5.96E-05,0,8.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
6H_10,10,0.570582105,0.052612774,0.062081286,0.155932708,0.005419086,0.012356707,0.006580319,0.007294923,0.001518535,0.040434718,0.041387524,0.001726961,0.000327527,0.002501117,0.00229269,0.001637636,0.001935388,0.001191008,0.001339884,0.004287628,0.001250558,0.006490993,0.00229269,0.001191008,0,0,5.96E-05,0.000982582,0.000565729,0,0.000238202,0.000357302,0.000387078,0.00068483,0.000774155,0.000863481,0,8.93E-05,0.00223314,0.000178651,0.000148876,8.93E-05,8.93E-05,0.000238202,0,0,0.000267977,0,0,0,0.000208426,0,0.000387078,0.000178651,0.000119101,2.98E-05,0,0,0,0.000476403,0,0,0,0,0,2.98E-05,0.001161233,0.000119101,0,0.000119101,0,0,0.000148876,0.000148876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130355814,0.104391842,0.100759268,0.005091559,0.011135924,0.003602799,0.011433676,0.019532529,0.001220783,0.001965163,0.001637636,0.018728599,0.00074438,0.006610094,0.002203365,0.007384249,0.135685574,0.001875837,0.000625279,0.059461069,0.057376805,0.001280333,0.002739318,0.000863481,0,0,0.001965163,0.000357302,0.000535954,5.96E-05,0,0.000595504,0.000506178,0.001012357,0,5.96E-05,0.001965163,0.000267977,0.001339884,0.001220783,0.000625279,0.066696442,0.000119101,5.96E-05,0.000119101,0.000476403,0.008337055,0.008128629,0,0.000178651,0.000506178,0.000565729,0.000267977,0,0.000595504,0,0,0,0.000565729,0.00836683,0,0.000476403,0.020604437,0.020247134,0,0.000357302,0.034807206,0.009230311,0,2.98E-05,0.000982582,0.005984815,0.016793211,0.005389311,0,0,0,0.000119101,0,0,5.96E-05,0.000506178,0.009647164,0,0,0,0.003960101,0,0,0,0,0.001875837,8.93E-05,0,2.98E-05,0,0,0,0.000476403,0,0.00303707,0,0,0.003989876,0.005538187,0,0.005032008,0,0.000208426,0
